system,batch,phase,Strict,Lenient,MRR
UDEL-LAB,1,B,0.3824,0.5882,0.4706
Ir_sys,1,B,0.4118,0.5,0.4559
lalala,1,B,0.3824,0.5,0.4363
KU-systems,1,B,0.3529,0.5294,0.4167
LaRSA,1,A & B,0.2941,0.5588,0.4118
bio-answerfinder,1,A & B,0.3824,0.4118,0.3897
AUEB-Systems,1,B,0.2941,0.4118,0.3392
BioASQ_Baseline,1,B,0.0588,0.2647,0.1186
NCU-IISR/AS-GIS,1,B,0,0,0
BioASQ-2022_UNCC,1,B,0,0,0
UDEL-LAB,2,B,0.5882,0.6765,0.6235
Ir_sys,2,B,0.5882,0.6471,0.6103
lalala,2,B,0.5882,0.6471,0.6039
KU-systems,2,B,0.5588,0.6471,0.5907
LaRSA,2,A & B,0.4412,0.5882,0.5098
bio-answerfinder,2,A & B,0.4118,0.4706,0.4412
AUEB-Systems,2,B,0.3824,0.5,0.4363
BioASQ_Baseline,2,B,0.0882,0.2647,0.1382
NCU-IISR/AS-GIS,2,B,0,0,0
BioASQ-2022_UNCC,2,B,0,0,0
UDEL-LAB,3,B,0.5625,0.6563,0.6042
LaRSA,3,A & B,0.5313,0.6875,0.599
KU-systems,3,B,0.5313,0.6875,0.5964
BioASQ-2022_UNCC,3,B,0.5,0.6875,0.5714
Ir_sys,3,B,0.5313,0.625,0.5703
lalala,3,B,0.5,0.625,0.5573
AUEB-Systems,3,B,0.5,0.5313,0.5156
NCU-IISR/AS-GIS,3,B,0.4063,0.4063,0.4063
bio-answerfinder,3,A & B,0.375,0.4063,0.3906
BioASQ_Baseline,3,B,0.1563,0.4063,0.2526
lalala,4,B,0.5806,0.6452,0.5995
Ir_sys,4,B,0.5161,0.6774,0.5806
KU-systems,4,B,0.5161,0.6452,0.5656
BioASQ-2022_UNCC,4,B,0.5161,0.6129,0.5645
UDEL-LAB,4,B,0.5484,0.6129,0.5613
LaRSA,4,A & B,0.4516,0.6129,0.5129
bio-answerfinder,4,A & B,0.3548,0.4194,0.3871
AUEB-Systems,4,B,0.2903,0.5484,0.3855
NCU-IISR/AS-GIS,4,B,0.3548,0.3548,0.3548
BioASQ_Baseline,4,B,0.1613,0.3226,0.2177
NCU-IISR/AS-GIS,5,B,0.4828,0.5862,0.5259
Ir_sys,5,B,0.4828,0.5862,0.5098
UDEL-LAB,5,B,0.4483,0.5862,0.5
BioASQ-2022_UNCC,5,B,0.4138,0.6207,0.4868
LaRSA,5,A & B,0.4138,0.5517,0.4626
lalala,5,B,0.3793,0.5517,0.4494
KU-systems,5,B,0.3793,0.5172,0.4264
bio-answerfinder,5,A & B,0.3448,0.4138,0.3736
AUEB-Systems,5,B,0.3103,0.4138,0.3534
BioASQ_Baseline,5,B,0.0345,0.1034,0.0632
Ir_sys,6,B,0.3333,0.6667,0.4722
lalala,6,B,0.3333,0.6667,0.4222
BioASQ-2022_UNCC,6,B,0.3333,0.5,0.4167
KU-systems,6,B,0.3333,0.5,0.4167
AUEB-Systems,6,B,0.3333,0.5,0.3889
BioASQ_Baseline,6,B,0.3333,0.5,0.3667
LaRSA,6,A & B,0.3333,0.3333,0.3333
bio-answerfinder,6,A & B,0.1667,0.5,0.3333
NCU-IISR/AS-GIS,6,B,0.1667,0.3333,0.2222
UDEL-LAB,6,B,0,0,0
