system,batch,phase,Mean Precision,Mean Recall,Mean F-Measure
UDEL-LAB,1,B,0.7201,0.8405,0.7469
lalala,1,B,0.6046,0.7286,0.6459
Ir_sys,1,B,0.7143,0.5619,0.6048
bio-answerfinder,1,A & B,0.5552,0.6107,0.5639
KU-systems,1,B,0.5629,0.5774,0.531
LaRSA,1,A & B,0.5714,0.4821,0.4959
BioASQ_Baseline,1,B,0.3016,0.375,0.265
AUEB-System,1,B,0.1143,0.0786,0.0905
UDEL-LAB,2,B,0.7042,0.74,0.7051
lalala,2,B,0.4955,0.6067,0.5177
Ir_sys,2,B,0.5893,0.4763,0.4956
LaRSA,2,A & B,0.6143,0.4281,0.449
bio-answerfinder,2,A & B,0.5254,0.4157,0.4485
KU-systems,2,B,0.5324,0.4337,0.421
BioASQ_Baseline,2,B,0.2892,0.4019,0.3053
AUEB-System,2,B,0.3967,0.2324,0.2663
UDEL-LAB,3,B,0.5442,0.6742,0.5655
bio-answerfinder,3,A & B,0.6273,0.4472,0.4843
lalala,3,B,0.4418,0.6076,0.4769
Ir_sys,3,B,0.5325,0.4552,0.4567
KU-systems,3,B,0.5195,0.4794,0.4212
LaRSA,3,A & B,0.4923,0.4128,0.4052
NCU-1,3,B,0.303,0.1608,0.1971
BioASQ_Baseline,3,B,0.1338,0.3478,0.1752
AUEB-System,3,B,0.1409,0.1662,0.1421
UDEL-LAB,4,B,0.5834,0.5844,0.5386
lalala,4,B,0.4089,0.4507,0.3835
KU-systems,4,B,0.5083,0.4146,0.3669
Ir_sys,4,B,0.4583,0.3243,0.3314
NCU-IISR-AS-GIS-4,4,B,0.3778,0.3122,0.3224
LaRSA,4,A & B,0.4736,0.3104,0.3048
bio-answerfinder,4,A & B,0.3727,0.2701,0.2733
BioASQ_Baseline,4,B,0.2163,0.4035,0.2582
AUEB-System,4,B,0.225,0.2118,0.2032
UDEL-LAB,5,B,0.612,0.6427,0.6123
NCU-IISR-AS-GIS-4,5,B,0.65,0.5114,0.5517
lalala,5,B,0.5209,0.584,0.534
KU-systems,5,B,0.5858,0.5373,0.5285
Ir_sys,5,B,0.6799,0.4716,0.5214
LaRSA,5,A & B,0.4486,0.4188,0.4191
bio-answerfinder,5,A & B,0.3438,0.329,0.3248
BioASQ_Baseline,5,B,0.2125,0.4801,0.2572
AUEB-System,5,B,0.1222,0.1012,0.0891
bio-answerfinder,6,A & B,0.7031,0.3893,0.4405
lalala,6,B,0.5367,0.5018,0.4306
LaRSA,6,A & B,0.6444,0.3985,0.4271
Ir_sys,6,B,0.6811,0.3851,0.4133
KU-systems,6,B,0.5744,0.3799,0.3917
NCU-IISR/AS-GIS-2,6,B,0.6937,0.3108,0.3487
BioASQ_Baseline,6,B,0.26,0.2992,0.247
AUEB-System,6,B,0.2822,0.2285,0.2275
UDEL-LAB,6,0,0,0,0
