body,type,exact_answer,predicted_answers,predicted_answer_pos
Which factor is inhibited by Milvexian?,factoid,[['XIa']],"[['Factor XIa'], ['XIa'], ['FXIa'], ['factor XIa']]",?
What is Granzyme B?,factoid,[['Granzyme B is a serine protease']],"[['serine protease'], ['cytotoxic granules'], ['diffuse large B-cell lymphoma']]",?
Which signaling pathway does LY294002 inhibit?,factoid,[['PI3K/AKT']],"[['PI3K/Akt signaling pathway'], ['tyrosine kinase 3']]",?
Which disease is caused by mutations in the gene PRF1?,factoid,[['haemophagocytic lymphohistiocytosis (HLH)']],"[['FHL2'], ['FHL'], ['hemophagocytic lymphohistiocytosis type 2'], ['HLH'], ['haemophagocytic lymphohistiocytosis (HLH)']]",?
What protein is encoded by the GRN gene?,factoid,[['progranulin']],"[['progranulin'], ['Progranulin']]",?
What is disrupted by ALS- and FTD-associated missense mutations in TBK1?,factoid,[['mitophagy']],"[['fronto-temporal dementia'], ['mitochondrial stress']]",?
What is the mode of action of primaquine?,factoid,[['anti-Malarial']],"[['amphipathic'], ['Hemolytic toxicity'], ['lysosomotropic'], ['antimalarial']]",?
Proteins in the karyopherin family (Kaps) are associated with what cellular process?,factoid,[['nuclear transport']],"[['cell cycle control'], ['cancers'], ['nuclear transport'], ['transport receptors'], ['nucleo-cytoplasmic trafficking']]",?
What percentage of human genes have no introns?,factoid,[['3%']],"[['3 percent'], ['3%'], ['97.7%'], ['80%'], ['3']]",?
What is caused by biallelic variants in PCDHGC4?,factoid,"[['A novel neurodevelopmental syndrome with progressive microcephaly, seizures, and joint anomalies']]","[['neurodevelopmental disorder'], ['autosomal recessive neurodevelopmental disorder']]",?
What induces downstream of gene (DoG) readthrough transcription?,factoid,[['stress conditions']],"[['stress'], ['stress-induced changes in gene transcription have been shown to play a major role in stress responses and adaptation. Genome-wide studies reveal prevalent transcription beyond known protein-coding gene loci, generating a variety of RNA classes, most of unknown function. One such class, termed downstream of gene-containing transcripts (DoGs), was reported to result from transcriptional readthrough upon osmotic stress'], ['stress-induced transcriptional readthrough generates very long downstream of gene containing transcripts (DoGs), which may explain up to 20% of intergenic transcription. DoGs are induced by osmotic stress at the level of transcription by a mechanism that depends on calcium release from the endoplasmic reticulum mediated by IP3 receptors. Here, we discuss DoG induction and function in the context of the literature, with special focus on 2 outstanding questions. First, we discuss possible molecular mechanisms underlying DoG induction through reduced transcription termination. Second, we explore how DoGs may function in maintaining euchromatin after nuclear scaffold stress'], ['Ca2+) is a key intracellular signaling molecule with far-reaching effects on many cellular processes. One of the most important such Ca2+regulated processes is transcription. A body of literature describes the effect of Ca2+signaling on transcription initiation as occurring mainly through activation of gene-specific transcription factors by Ca2+-induced signaling cascades. However, the reach of Ca2+extends far beyond the first step of transcription. In fact, Ca2+can regulate all phases of transcription, with additional effects on transcription-associated events such as alternative splicing. Importantly, Ca2+signaling mediates reduced transcription termination'], ['stress-induced transcriptional readthrough is a recently discovered phenomenon, in which stress conditions']]",?
What is the effect of rHDL-apoE3 on endothelial cell migration?,factoid,[['Promotion']],"[['atherosclerosis'], ['transcriptome effects and focusing on endothelial cell (EC) migration as a critical process in re-endothelialization and atherosclerosis prevention'], ['hypercholesterolemia']]",?
Hampton’s hump is characteristic to which disease?,factoid,[['pulmonary embolism']],"[['pulmonary embolism'], ['endocarditis'], ['pleural-based area of increased opacity']]",?
"What is the activity of Indoleamine 2,3-dioxygenase 1.",factoid,[['Immunosuppressive activity']],"[['immune tolerance'], ['Immune escape is an early phenomenon in cancer development/progression. Indoleamine 2,3-dioxygenase 1 (IDO1) is a normal endogenous mechanism of acquired peripheral immune tolerance'], ['immunosuppressive'], ['catalyzing the conversion of tryptophan (Trp) to kynurenine (Kyn) in kynurenine pathway'], ['Kyn-AhR pathway']]",?
What is the purpose of  Macropinocytosis?,factoid,[['transport across an external cell membrane']],"[['nutrient acquisition'], ['constitutive ruffling'], ['Macrophage foam cell formation'], ['to obtain nutrients'], ['Gonococcal entry']]",?
"Which was the first species in which a de novo gene emergence (""gene birth"") was reported?",factoid,[['the Arctic codfish']],"[['neuroblastoma'], ['Saccharomyces cerevisiae'], ['codfishes'], ['Magnaporthe oryzae']]",?
Which type of cancer has been suggested as a strategy for potential small-molecule inhibition of METTL3?,factoid,[['myeloid leukaemia']],"[['acute myeloid leukaemia'], ['AML']]",?
Where are the PUX proteins found?,factoid,[['PUX proteins specifically associate with the nucleoskeleton underneath the INM.']],"[['inner nuclear membrane'], ['chromatin']]",?
Which substance use is associated with Brodifacoum poisoning?,factoid,[['marijuana']],"[['Synthetic marijuana'], ['marijuana'], ['warfarin'], ['synthetic cannabinoids'], ['synthetic cannabinoid']]",?
What is Alphafold?,factoid,[['Highly accurate protein structure prediction approoach']],"[['neural network-based model'], ['AlphaFold 2 (AF2'], ['AlphaFold2, 3D structures of almost the entire human proteome'], ['neural network-based model, AlphaFold, in the challenging 14th Critical Assessment of protein Structure Prediction'], ['solution structures']]",?
Which receptor is targeted by Spesolimab?,factoid,[['interleukin-36']],"[['IL-36'], ['interleukin-36'], ['tumour necrosis factor-α'], ['Palmoplantar pustulosis']]",?
What is the effect of grapefruit juice on CYP3A4?,factoid,[['Inhibitory']],"[['cytochrome P450 3A4'], ['furanocoumarins']]",?
Which is the major clinical feature observed in FDXR-associated disease?,factoid,[['Retinal dystrophy']],[['retinal dystrophy']],?
Where is the the protein perforin localized?,factoid,[['In secretory granules']],"[['secretory granules'], ['pore'], ['cytotoxic'], ['granules'], ['barrier']]",?
What is an exosome?,factoid,[['extracellular nanovesicle']],"[['Exosomes'], ['extracellular vesicles'], ['liposomes']]",?
Which disease is associated with X-linked recessive TLR7 deficiency?,factoid,[['critical COVID-19 pneumonia']],"[['pneumonia'], ['hemizygous'], ['SARS']]",?
Which one was the first chromone in clinical use?,factoid,[['Khellin']],"[['khellin'], ['disodium cromoglycate']]",?
Which resource is used for visualisation of non-covalent contacts?,factoid,[['Protein Contacts Atlas']],[['Protein Contacts Atlas']],?
Which disease is treated with Emapalumab?,factoid,[['primary hemophagocytic lymphohistiocytosis']],"[['HLH'], ['hemophagocytic lymphohistiocytosis (HLH'], ['Primary hemophagocytic lymphohistiocytosis'], ['haemophagocytic lymphohistiocytosis']]",?
What is the function of the protein encoded by PUMILIO1?,factoid,"[['developmental and translational regulator of RNA', 'regulate specific target mRNAs posttranscriptionally', 'translational regulation of target mRNAs', 'RNA-binding proteins that function as a developmental regulator in diverse animal species.']]","[['Posttranscriptional regulation'], ['RNA binding'], ['developmental regulator'], ['RNA-binding']]",?
What is the prevalence of the inactivating AKT variant p.Pro50Thr in the Finnish population?,factoid,[['1.1%']],[['1.1%']],?
