body,type,exact_answer,predicted_answers,predicted_answer_pos
Which CD38 antibody has been shown to be effective for Lupus Erythematosus?,factoid,[['Daratumumab']],"[['Belimumab'], ['belimumab'], ['MMF'], ['MCT-1 oncogene']]",?
What is a circRNA?,factoid,[['Circular RNAs (circRNAs) are a new class of non-coding RNA with a stable structure formed by special loop splicing.']],"[['Circular RNA'], ['Circular RNAs']]",?
Which one of the CYP450 enzymes is the second most frequently implicated in the metabolism of the drugs currently available on the market?,factoid,[['CYP2D6']],"[['ABCG1'], ['KMP-10'], ['ABCB1'], ['hydroxyeicosatetraenoic acids'], ['monocyte chemotactic peptide-1 (MCP-1), interleukin-8 (IL-8), RANTES (Regulated on Activation and Normally T-cells Expressed and presumably Secreted) and interleukin-10 (IL-10) are thought to play pivotal roles in immune recognition, acceptance of the fetal allograft, maintenance of pregnancy and parturition. Their secretion and regulation within the third trimester uterus is, however, less well defined. We therefore investigated the release of these cytokines by third trimester amnion, chorion, placenta and decidua, and studied the influence of prostaglandin E2']]",?
What is the msDNA?,factoid,"[['msDNA is actually a complex of DNA, RNA, and probably protein.']]","[['Multi-copy single-stranded DNA'], ['mitochondrial genome'], ['HIV-1'], ['mitochondrial DNA'], ['multi-copy single-stranded DNA']]",?
What percentage of currently available drugs are metabolized by CYP3A4?,factoid,[['50%']],"[['7.0%'], ['-2.01 percentage'], ['cytochrome P450s'], ['BPND'], ['3%']]",?
What is caused by bi-allelic loss-of-function variants in IPO8?,factoid,[['A syndromic form of thoracic aortic aneurysm (TAA) with clinical overlap with Loeys-Dietz and Shprintzen-Goldberg syndromes']],"[['neurodevelopmental disorder'], ['thoracic aortic aneurysm'], ['Oguchi disease'], ['TAA'], ['spastic paraplegia']]",?
Which glands in the bee secretes royal jelly?,factoid,[['hypopharyngeal glands']],"[['glandular'], ['hypopharyngeal glands'], ['hypopharyngeal'], ['nurse hypopharyngeal glands']]",?
When did FDA approve the first B-cell maturation antigen-targeted CAR-T cell therapy?,factoid,[['26 March 2021']],"[['March 26, 2021'], ['recently gained approval by the US FDA for relapsed and refractory multiple myeloma (RRMM)'], ['KarMMa study'], ['lupus nephritis'], ['bb2121']]",?
When is the drug Ivermectin used?,factoid,[['Ivermectin is used to treat parasitic diseases']],"[['Malaria'], ['antischistosomal'], ['once a month'], ['Visceral leishmaniasis'], ['phase I to III clinical studies, with standard uptake value ratio (SUVR) used as a PD marker. Across clinical studies, aducanumab was administered intravenously either as a single dose ranging from 0.3 to 60 mg/kg or as multiple doses of 1, 3, 6, or 10 mg/kg every 4 weeks']]",?
What is the effect of rHDL-apoE3 on vascular permeability?,factoid,[['Improves']],"[['hypercholesterolemia'], ['Atherosclerosis'], ['apoptosis death'], ['epithelial morphogenesis'], ['reduced concentration of Evans Blue dye']]",?
What is inhibited by TH1579?,factoid,[['MTH1']],"[['Phosphoinositide 3-kinase'], ['ATPDs'], ['Sodium-glucose linked transporter type 2 (SGLT-2)'], ['Bacillus megaterium'], ['MET']]",?
What is the Versene Solution used for?,factoid,[['for the detachment of cells']],"[['breast cancer'], ['pegcetacoplan'], ['signal transduction'], ['N-glycosylation'], ['regenerative medicine']]",?
What is the indication for Favipiravir?,factoid,"[['Covid-19', 'influenza']]","[['influenza'], ['fever'], ['coronavirus disease 2019'], ['pandemic influenza virus infections']]",?
Which syndrome is caused by pathogenic COL4A3-COL4A5 variants?,factoid,[['Alport syndrome']],"[['Alport syndrome'], ['Bartter syndrome'], ['spastic paraplegia'], ['Oguchi disease']]",?
Which disease do pathogenic NR2F1 variants cause?,factoid,"[['Bosch-Boonstra-Schaaf optic atrophy syndrome', 'BBSOAS']]","[['Oguchi disease'], ['neurodevelopmental disorder'], ['Alport syndrome'], ['spastic paraplegia'], ['KARS1-related disorders']]",?
Which mutation is targeted by Tepotinib?,factoid,[['MET Exon 14 Skipping Mutation']],"[['METex14'], ['capmatinib'], ['tyrosine kinase'], ['MET exon 14 skipping mutation']]",?
Nemolizumab has been shown to be effective for which disease?,factoid,[['atopic dermatitis']],"[['Coronavirus Disease 2019'], ['atopic dermatitis'], ['cancer']]",?
What is the mammalian version of arginine vasotocin?,factoid,[['Arginine vasopressin (AVP)']],"[['arginine-vasopressin'], ['AVT'], ['coelacanth'], ['Intronless'], ['arginine vasopressin']]",?
