body,type,exact_answer,predicted_answers,TP,FP,FN
List clinical phenotypes and molecular genetic features of patients with KMT2B-related disorders,list,"[['dystonia evolution'], ['non-dystonic neurodevelopmental phenotype'], ['risk of status dystonicus'], ['intrauterine growth retardation'], ['endocrinopathies']]","[['age'], ['chromosomal deletions'], ['parkinson']]",?,?,?
What is a potential alternate uses(repositioning) for Primaquine,list,"[['Blocks Vascular Leakage'], ['anti parasite', 'anti Neospora caninum']]","[['chloroquine'], ['cancer'], ['drug'], ['integrity'], ['leakage by maintaining endothelial integrity'], ['Antimalarial Drug'], ['antimalaria drug primaquine phosphate (PRQ'], ['apoptosis of ATRA-resistant acute promyelocytic leukemia cells by inhibition of the NF-κB pathway'], ['malaria drug']]",?,?,?
What are the key characteristics of the syndrome caused by ANKRD17 loss-of-function variants?,list,"[['Intellectual disability'], ['Speech delay'], ['Dysmorphism']]","[['developmental delay/intellectual disability'], ['speech delay']]",?,?,?
Please list 3 biologic(monoclonal antibody) drugs used to treat migraine headaches.,list,"[['fremanezumab'], ['galcanezumab'], ['erenumab', 'aimovig'], ['Eptinezumab']]","[['fremanezumab'], ['Erenumab'], ['Fremanezumab'], ['Galcanezumab'], ['galcanezumab']]",?,?,?
Which receptors are targeted by Tirzepatide?,list,"[['glucose-dependent insulinotropic polypeptide'], ['glucagon-like peptide-1']]","[['T2D'], ['GLP'], ['glucagon-like peptide 1 receptors'], ['GIP'], ['GLP-1']]",?,?,?
List known pseudokinases.,list,"[['TRIB1'], ['TRIB2'], ['TRIB3'], ['MLKL'], ['ULK4'], ['HER3'], ['CASK']]","[['TRIB3'], ['Trib1'], ['JAK1'], ['pseudokinase 2'], ['MLKL'], ['ULK4'], ['HER3'], ['CASK']]",?,?,?
What is the use of pegcetacoplan?,list,"[['Geographic Atrophy'], ['paroxysmal nocturnal haemoglobinuria']]","[['adults'], ['paroxysmal nocturnal hemoglobinuria'], ['hemolysis control'], ['Age-Related Macular Degeneration'], ['paroxysmal nocturnal haemoglobinuria'], ['Nocturnal Hemoglobinuria'], ['hemolysis control, including control of intravascular and extravascular hemolysis'], ['complement inhibition']]",?,?,?
Which drugs are included in the CAPOX chemotherapy regimen for colorectal cancer?,list,"[['capecitabine'], ['oxaliplatin']]","[['capecitabine'], ['Capecitabine'], ['oxaliplatin']]",?,?,?
Which factors are inhibited by Abelacimab?,list,"[['XI'], ['XIa']]","[['FXI'], ['activa'], ['Factor XI and Factor XIa'], ['factor XI and locks it in the zymogen (inactive precursor'], ['factor'], ['venous thromboembolism and was associated with a low risk'], ['Factor XI inhibition with a single intravenous dose of abelacimab after total knee arthroplasty was effective for the prevention of venous thromboembolism']]",?,?,?
What kind of approaches you need to combine in order to manage Familial spontaneous pneumothorax?,list,"[['Clinical'], ['Radiological'], ['Genetic']]",[['genetic']],?,?,?
List the main salt-inducible kinases.,list,"[['SIK1'], ['SIK2'], ['SIK3'], ['HDAC4'], ['HDAC5']]","[['SIK1'], ['SIK2'], ['HDAC5'], ['SIKs'], ['CAMK)-like (CAMKL']]",?,?,?
